Assembler Example,Alias,Proper Name,HEX,HEX,Addressing Mode,Flags Set,Bytes,Cycles
XOR (dp),,Exclusive-OR Accumulator with Memory,9E,0x9E,DP Indirect,N-----Z-,2,5[1][2]
"XOR (dp),Y",,Exclusive-OR Accumulator with Memory,9F,0x9F,"DP Indirect Indexed, Y",N-----Z-,2,5[1][2][3]
"CMP (dp,X)",,Compare Accumulator with Memory,A0,0xA0,"DP Indexed Indirect,X",N-----ZC,2,6[1][2]
CMP (dp),,Compare Accumulator with Memory,A1,0xA1,DP Indirect,N-----ZC,2,5[1][2]
"CMP (dp),Y",,Compare Accumulator with Memory,A2,0xA2,"DP Indirect Indexed, Y",N-----ZC,2,5[1][2][3]
"CMP (sr,S),Y",,Compare Accumulator with Memory,A3,0xA3,"SR Indirect Indexed,Y",N-----ZC,2,7[1]
CMP [dp],,Compare Accumulator with Memory,A4,0xA4,DP Indirect Long,N-----ZC,2,6[1][2]
"CMP [dp],Y",,Compare Accumulator with Memory,A5,0xA5,"DP Indirect Long Indexed, Y",N-----ZC,2,6[1][2]
CMP #const,,Compare Accumulator with Memory,A6,0xA6,Immediate,N-----ZC,2[12],2[1]
CMP addr,,Compare Accumulator with Memory,A7,0xA7,Absolute,N-----ZC,,3
"CMP addr,X",,Compare Accumulator with Memory,A8,0xA8,"Absolute Indexed,X",N-----ZC,,3
"CMP addr,Y",,Compare Accumulator with Memory,A9,0xA9,"Absolute Indexed,Y",N-----ZC,,3
CMP dp,,Compare Accumulator with Memory,AA,0xAA,Direct Page,N-----ZC,2,3[1][2]
"CMP dp,X",,Compare Accumulator with Memory,AB,0xAB,"DP Indexed,X",N-----ZC,2,4[1][2]
CMP long,,Compare Accumulator with Memory,AC,0xAC,Absolute Long,N-----ZC,4,5[1]
"CMP long,X",,Compare Accumulator with Memory,AD,0xAD,"Absolute Long Indexed,X",N-----ZC,4,5[1]
"CMP sr,S",,Compare Accumulator with Memory,AE,0xAE,Stack Relative,N-----ZC,2,4[1]
COP #const,,Co-Processor,AF,0xAF,Stack/Interrupt,----DI--,2[13],7[7]
"ADC ( dp),Y",,Add With Carry,B0,0xB0,"DP Indirect Indexed, Y",NV----ZC,2,5[1][2][3]
"ADC (dp,X)",,Add With Carry,B1,0xB1,"DP Indexed Indirect,X",NV----ZC,2,6[1][2]
ADC (dp),,Add With Carry,B2,0xB2,DP Indirect,NV----ZC,2,5[1][2]
"ADC (sr,S),Y",,Add With Carry,B3,0xB3,"SR Indirect Indexed,Y",NV----ZC,2,7[1]
ADC [dp],,Add With Carry,B4,0xB4,DP Indirect Long,NV----ZC,2,6[1][2]
"ADC [dp],Y",,Add With Carry,B5,0xB5,"DP Indirect Long Indexed, Y",NV----ZC,2,6[1][2]
ADC #const,,Add With Carry,B6,0xB6,Immediate,NV----ZC,2[12],2[1]
ADC addr,,Add With Carry,B7,0xB7,Absolute,NV----ZC,,3
"ADC addr,X",,Add With Carry,B8,0xB8,"Absolute Indexed,X",NV----ZC,,3
"ADC addr,Y",,Add With Carry,B9,0xB9,"Absolute Indexed,Y",NV----ZC,,3
"ADC dp,X",,Add With Carry,BA,0xBA,"DP Indexed,X",NV----ZC,2,4[1][2]
ADC long,,Add With Carry,BB,0xBB,Absolute Long,NV----ZC,4,5[1]
"ADC long,X",,Add With Carry,BC,0xBC,"Absolute Long Indexed,X",NV----ZC,4,5[1]
"ADC sr,S",,Add With Carry,BD,0xBD,Stack Relative,NV----ZC,2,4[1]
"AND (dp,X)",,AND Accumulator with Memory,BE,0xBE,"DP Indexed Indirect,X",N-----Z-,2,6[1][2]
AND (dp),,AND Accumulator with Memory,BF,0xBF,DP Indirect,N-----Z-,2,5[1][2]
"AND (dp),Y",,AND Accumulator with Memory,C0,0xC0,"DP Indirect Indexed, Y",N-----Z-,2,5[1][2][3]
"AND (sr,S),Y",,AND Accumulator with Memory,C1,0xC1,"SR Indirect Indexed,Y",N-----Z-,2,7[1]
AND [dp],,AND Accumulator with Memory,C2,0xC2,DP Indirect Long,N-----Z-,2,6[1][2]
"AND [dp],Y",,AND Accumulator with Memory,C3,0xC3,"DP Indirect Long Indexed, Y",N-----Z-,2,6[1][2]
AND #const,,AND Accumulator with Memory,C4,0xC4,Immediate,N-----Z-,2[12],2[1]
AND addr,,AND Accumulator with Memory,C5,0xC5,Absolute,N-----Z-,,3
"AND addr,X",,AND Accumulator with Memory,C6,0xC6,"Absolute Indexed,X",N-----Z-,,3
"AND addr,Y",,AND Accumulator with Memory,C7,0xC7,"Absolute Indexed,Y",N-----Z-,,3
AND dp,,AND Accumulator with Memory,C8,0xC8,Direct Page,N-----Z-,2,3[1][2]
"AND dp,X",,AND Accumulator with Memory,C9,0xC9,"DP Indexed,X",N-----Z-,2,4[1][2]
AND long,,AND Accumulator with Memory,CA,0xCA,Absolute Long,N-----Z-,4,5[1]
"AND long,X",,AND Accumulator with Memory,CB,0xCB,"Absolute Long Indexed,X",N-----Z-,4,5[1]
"AND sr,S",,AND Accumulator with Memory,CC,0xCC,Stack Relative,N-----Z-,2,4[1]
"ORA (dp,X)",,OR Accumulator with Memory,CD,0xCD,"DP Indexed Indirect,X",N-----Z-,2,6[1][2]
ORA (dp),,OR Accumulator with Memory,CE,0xCE,DP Indirect,N-----Z-,2,5[1][2]
"ORA (dp),Y",,OR Accumulator with Memory,CF,0xCF,"DP Indirect Indexed, Y",N-----Z-,2,5[1][2][3]
"ORA (sr,S),Y",,OR Accumulator with Memory,D0,0xD0,"SR Indirect Indexed,Y",N-----Z-,2,7[1]
ORA [dp],,OR Accumulator with Memory,D1,0xD1,DP Indirect Long,N-----Z-,2,6[1][2]
"ORA [dp],Y",,OR Accumulator with Memory,D2,0xD2,"DP Indirect Long Indexed, Y",N-----Z-,2,6[1][2]
ORA #const,,OR Accumulator with Memory,D3,0xD3,Immediate,N-----Z-,2[12],2[1]
ORA addr,,OR Accumulator with Memory,D4,0xD4,Absolute,N-----Z-,,3
"ORA addr,X",,OR Accumulator with Memory,D5,0xD5,"Absolute Indexed,X",N-----Z-,,3
"ORA addr,Y",,OR Accumulator with Memory,D6,0xD6,"Absolute Indexed,Y",N-----Z-,,3
ORA dp,,OR Accumulator with Memory,D7,0xD7,Direct Page,N-----Z-,2,3[1][2]
"ORA dp,X",,OR Accumulator with Memory,D8,0xD8,"DP Indexed,X",N-----Z-,2,4[1][2]
ORA long,,OR Accumulator with Memory,D9,0xD9,Absolute Long,N-----Z-,4,5[1]
"ORA long,X",,OR Accumulator with Memory,DA,0xDA,"Absolute Long Indexed,X",N-----Z-,4,5[1]
"ORA sr,S",,OR Accumulator with Memory,DB,0xDB,Stack Relative,N-----Z-,2,4[1]
"SBC (dp,X)",,Subtract with Borrow from Accumulator,DC,0xDC,"DP Indexed Indirect,X",NV----ZC,2,6[1][2]
"SBC (dp),Y",,Subtract with Borrow from Accumulator,DD,0xDD,"DP Indirect Indexed, Y",NV----ZC,2,5[1][2][3]
"SBC (sr,S),Y",,Subtract with Borrow from Accumulator,DE,0xDE,"SR Indirect Indexed,Y",NV----ZC,2,7[1]
SBC [dp],,Subtract with Borrow from Accumulator,DF,0xDF,DP Indirect Long,NV----ZC,2,6[1][2]
"SBC [dp],Y",,Subtract with Borrow from Accumulator,E0,0xE0,"DP Indirect Long Indexed, Y",NV----ZC,2,6[1][2]
SBC #const,,Subtract with Borrow from Accumulator,E1,0xE1,Immediate,NV----ZC,2[12],2[1]
SBC addr,,Subtract with Borrow from Accumulator,E2,0xE2,Absolute,NV----ZC,,3
"SBC addr,X",,Subtract with Borrow from Accumulator,E3,0xE3,"Absolute Indexed,X",NV----ZC,,3
"SBC addr,Y",,Subtract with Borrow from Accumulator,E4,0xE4,"Absolute Indexed,Y",NV----ZC,,3
SBC dp,,Subtract with Borrow from Accumulator,E5,0xE5,Direct Page,NV----ZC,2,3[1][2]
"SBC dp,X",,Subtract with Borrow from Accumulator,E6,0xE6,"DP Indexed,X",NV----ZC,2,4[1][2]
SBC long,,Subtract with Borrow from Accumulator,E7,0xE7,Absolute Long,NV----ZC,4,5[1]
"SBC long,X",,Subtract with Borrow from Accumulator,E8,0xE8,"Absolute Long Indexed,X",NV----ZC,4,5[1]
"SBC sr,S",,Subtract with Borrow from Accumulator,E9,0xE9,Stack Relative,NV----ZC,2,4[1]
"MUL (dp,X)",,Multiply Accumulator by Memory or Register,EA,0xEA,"DP Indexed Indirect,X",NV----ZC,2,12
"MUL (dp),Y",,Multiply Accumulator by Memory or Register,EB,0xEB,"DP Indirect Indexed, Y",NV----ZC,2,11
"MUL (sr,S),Y",,Multiply Accumulator by Memory or Register,EC,0xEC,"SR Indirect Indexed,Y",NV----ZC,2,13
MUL [dp],,Multiply Accumulator by Memory or Register,ED,0xED,DP Indirect Long,NV----ZC,2,12
"MUL [dp],Y",,Multiply Accumulator by Memory or Register,EE,0xEE,"DP Indirect Long Indexed, Y",NV----ZC,2,12
MUL #const,,Multiply Accumulator by Memory or Register,EF,0xEF,Immediate,NV----ZC,2[12],8
MUL addr,,Multiply Accumulator by Memory or Register,F0,0xF0,Absolute,NV----ZC,,9
"MUL addr,X",,Multiply Accumulator by Memory or Register,F1,0xF1,"Absolute Indexed,X",NV----ZC,,9
"MUL addr,Y",,Multiply Accumulator by Memory or Register,F2,0xF2,"Absolute Indexed,Y",NV----ZC,,9
MUL dp,,Multiply Accumulator by Memory or Register,F3,0xF3,Direct Page,NV----ZC,2,9
"MUL dp,X",,Multiply Accumulator by Memory or Register,F4,0xF4,"DP Indexed,X",NV----ZC,2,10
MUL long,,Multiply Accumulator by Memory or Register,F5,0xF5,Absolute Long,NV----ZC,4,11
"MUL long,X",,Multiply Accumulator by Memory or Register,F6,0xF6,"Absolute Long Indexed,X",NV----ZC,4,11
"MUL sr,S",,Multiply Accumulator by Memory or Register,F7,0xF7,Stack Relative,NV----ZC,2,10
"XOR (sr,S),Y",,Exclusive-OR Accumulator with Memory,F8,0xF8,"SR Indirect Indexed,Y",N-----Z-,2,7[1]
XOR #const,,Exclusive-OR Accumulator with Memory,F9,0xF9,Immediate,N-----Z-,2[12],2[1]
XOR dp,,Exclusive-OR Accumulator with Memory,FA,0xFA,Direct Page,N-----Z-,2,3[1][2]
"XOR dp,X",,Exclusive-OR Accumulator with Memory,FB,0xFB,"DP Indexed,X",N-----Z-,2,4[1][2]
XOR long,,Exclusive-OR Accumulator with Memory,FC,0xFC,Absolute Long,N-----Z-,4,5[1]
"XOR long,X",,Exclusive-OR Accumulator with Memory,FD,0xFD,"Absolute Long Indexed,X",N-----Z-,4,5[1]
"XOR sr,S",,Exclusive-OR Accumulator with Memory,FE,0xFE,Stack Relative,N-----Z-,2,4[1]
HLT,STP/KIL,Halt,FF,0xFF,Implied,,1,0
